Time;c/kWh
2024-04-01 00:00;6,04
2024-04-01 01:00;5,6
2024-04-01 02:00;5,6
2024-04-01 03:00;5,55
2024-04-01 04:00;5,24
2024-04-01 05:00;5,11
2024-04-01 06:00;5,11
2024-04-01 07:00;5,16
2024-04-01 08:00;5,58
2024-04-01 09:00;5,84
2024-04-01 10:00;5,66
2024-04-01 11:00;5,24
2024-04-01 12:00;4,36
2024-04-01 13:00;2,83
2024-04-01 14:00;3,08
2024-04-01 15:00;1,83
2024-04-01 16:00;1,14
2024-04-01 17:00;1,1
2024-04-01 18:00;2,22
2024-04-01 19:00;4,79
2024-04-01 20:00;5,12
2024-04-01 21:00;4,58
2024-04-01 22:00;4,07
2024-04-01 23:00;1,11
2024-04-02 00:00;0,63
2024-04-02 01:00;1,28
2024-04-02 02:00;0,75
2024-04-02 03:00;0,66
2024-04-02 04:00;0,69
2024-04-02 05:00;0,78
2024-04-02 06:00;1,46
2024-04-02 07:00;5,54
2024-04-02 08:00;6,9
2024-04-02 09:00;7,54
2024-04-02 10:00;6,4
2024-04-02 11:00;5,34
2024-04-02 12:00;5,46
2024-04-02 13:00;5,46
2024-04-02 14:00;5,35
2024-04-02 15:00;4,73
2024-04-02 16:00;3,7
2024-04-02 17:00;1,68
2024-04-02 18:00;5,7
2024-04-02 19:00;6,55
2024-04-02 20:00;6,25
2024-04-02 21:00;5,91
2024-04-02 22:00;5,45
2024-04-02 23:00;3,78
2024-04-03 00:00;0,8
2024-04-03 01:00;3,72
2024-04-03 02:00;3,15
2024-04-03 03:00;2,69
2024-04-03 04:00;2,2
2024-04-03 05:00;3,92
2024-04-03 06:00;4,93
2024-04-03 07:00;5,54
2024-04-03 08:00;6,31
2024-04-03 09:00;6,77
2024-04-03 10:00;7,05
2024-04-03 11:00;6,86
2024-04-03 12:00;6,62
2024-04-03 13:00;6,76
2024-04-03 14:00;6,65
2024-04-03 15:00;6,59
2024-04-03 16:00;6,74
2024-04-03 17:00;7,28
2024-04-03 18:00;7,65
2024-04-03 19:00;7,95
2024-04-03 20:00;7,71
2024-04-03 21:00;7,32
2024-04-03 22:00;7,84
2024-04-03 23:00;7,74
2024-04-04 00:00;7,45
2024-04-04 01:00;7,35
2024-04-04 02:00;7,04
2024-04-04 03:00;6,81
2024-04-04 04:00;6,98
2024-04-04 05:00;7,03
2024-04-04 06:00;7,3
2024-04-04 07:00;10,13
2024-04-04 08:00;31,58
2024-04-04 09:00;31,59
2024-04-04 10:00;10,51
2024-04-04 11:00;9,89
2024-04-04 12:00;8,41
2024-04-04 13:00;7,97
2024-04-04 14:00;7,85
2024-04-04 15:00;8,04
2024-04-04 16:00;9,89
2024-04-04 17:00;8,73
2024-04-04 18:00;9,28
2024-04-04 19:00;12,68
2024-04-04 20:00;11,48
2024-04-04 21:00;8,99
2024-04-04 22:00;8,02
2024-04-04 23:00;7,68
2024-04-05 00:00;7,53
2024-04-05 01:00;6,39
2024-04-05 02:00;6,58
2024-04-05 03:00;6,48
2024-04-05 04:00;6,36
2024-04-05 05:00;6,46
2024-04-05 06:00;6,45
2024-04-05 07:00;6,91
2024-04-05 08:00;7,65
2024-04-05 09:00;8,19
2024-04-05 10:00;8,03
2024-04-05 11:00;6,85
2024-04-05 12:00;6,24
2024-04-05 13:00;6,1
2024-04-05 14:00;5,55
2024-04-05 15:00;5,19
2024-04-05 16:00;4,44
2024-04-05 17:00;4,01
2024-04-05 18:00;5,55
2024-04-05 19:00;6,75
2024-04-05 20:00;7,21
2024-04-05 21:00;7,28
2024-04-05 22:00;7,21
2024-04-05 23:00;7,13
2024-04-06 00:00;6,74
2024-04-06 01:00;5,8
2024-04-06 02:00;6,02
2024-04-06 03:00;6,05
2024-04-06 04:00;6,15
2024-04-06 05:00;6,48
2024-04-06 06:00;6,57
2024-04-06 07:00;6,78
2024-04-06 08:00;8
2024-04-06 09:00;7,87
2024-04-06 10:00;6,57
2024-04-06 11:00;6,51
2024-04-06 12:00;5,55
2024-04-06 13:00;5,49
2024-04-06 14:00;5,28
2024-04-06 15:00;4,92
2024-04-06 16:00;5,45
2024-04-06 17:00;5,63
2024-04-06 18:00;8,04
