Time;c/kWh
2024-03-01 00:00;0,59
2024-03-01 01:00;0,59
2024-03-01 02:00;0,59
2024-03-01 03:00;0,59
2024-03-01 04:00;0,59
2024-03-01 05:00;0,59
2024-03-01 06:00;3,13
2024-03-01 07:00;3,44
2024-03-01 08:00;3,81
2024-03-01 09:00;4,06
2024-03-01 10:00;4,31
2024-03-01 11:00;4,28
2024-03-01 12:00;4,31
2024-03-01 13:00;4,43
2024-03-01 14:00;4,43
2024-03-01 15:00;4,27
2024-03-01 16:00;4,06
2024-03-01 17:00;3,81
2024-03-01 18:00;3,9
2024-03-01 19:00;4,24
2024-03-01 20:00;4,2
2024-03-01 21:00;3,89
2024-03-01 22:00;3,86
2024-03-01 23:00;3,91
2024-03-02 00:00;3,81
2024-03-02 01:00;4,46
2024-03-02 02:00;4,69
2024-03-02 03:00;4,89
2024-03-02 04:00;4,98
2024-03-02 05:00;5,17
2024-03-02 06:00;5,3
2024-03-02 07:00;5,11
2024-03-02 08:00;5,29
2024-03-02 09:00;5,54
2024-03-02 10:00;5,81
2024-03-02 11:00;5,73
2024-03-02 12:00;5,93
2024-03-02 13:00;6,01
2024-03-02 14:00;6,53
2024-03-02 15:00;6,71
2024-03-02 16:00;6,87
2024-03-02 17:00;7,93
2024-03-02 18:00;8,41
2024-03-02 19:00;8,52
2024-03-02 20:00;8,08
2024-03-02 21:00;6,93
2024-03-02 22:00;6,55
2024-03-02 23:00;7,7
2024-03-03 00:00;6,15
2024-03-03 01:00;6,98
2024-03-03 02:00;7,03
2024-03-03 03:00;7,1
2024-03-03 04:00;7,22
2024-03-03 05:00;7,25
2024-03-03 06:00;7,31
2024-03-03 07:00;7,37
2024-03-03 08:00;7,47
2024-03-03 09:00;7,38
2024-03-03 10:00;8,81
2024-03-03 11:00;10,17
2024-03-03 12:00;10,18
2024-03-03 13:00;10,02
2024-03-03 14:00;9,52
2024-03-03 15:00;9,49
2024-03-03 16:00;9,35
2024-03-03 17:00;9,02
2024-03-03 18:00;10,84
2024-03-03 19:00;11,14
2024-03-03 20:00;11,37
2024-03-03 21:00;10,15
2024-03-03 22:00;11,36
2024-03-03 23:00;12,83
2024-03-04 00:00;10,15
2024-03-04 01:00;13,12
2024-03-04 02:00;11,38
2024-03-04 03:00;9,02
2024-03-04 04:00;8,8
2024-03-04 05:00;9,03
2024-03-04 06:00;11,44
2024-03-04 07:00;13,12
2024-03-04 08:00;14,74
2024-03-04 09:00;14,74
2024-03-04 10:00;15,78
2024-03-04 11:00;13,09
2024-03-04 12:00;13,12
2024-03-04 13:00;12,1
2024-03-04 14:00;11,38
2024-03-04 15:00;10,96
2024-03-04 16:00;12,25
2024-03-04 17:00;12,49
2024-03-04 18:00;12,65
2024-03-04 19:00;13,63
2024-03-04 20:00;12,88
2024-03-04 21:00;10,57
2024-03-04 22:00;10,98
2024-03-04 23:00;13,23
2024-03-05 00:00;11,91
2024-03-05 01:00;9,15
2024-03-05 02:00;8,08
2024-03-05 03:00;7,59
2024-03-05 04:00;7,58
2024-03-05 05:00;8,93
2024-03-05 06:00;14,95
2024-03-05 07:00;14,26
2024-03-05 08:00;13,61
2024-03-05 09:00;14,85
2024-03-05 10:00;12,25
2024-03-05 11:00;12,36
2024-03-05 12:00;9,95
2024-03-05 13:00;11,13
2024-03-05 14:00;9,89
2024-03-05 15:00;9,27
2024-03-05 16:00;10,59
2024-03-05 17:00;10,37
2024-03-05 18:00;13,59
2024-03-05 19:00;14,31
2024-03-05 20:00;14,76
2024-03-05 21:00;12,28
2024-03-05 22:00;13,03
2024-03-05 23:00;13,18
2024-03-06 00:00;10,75
2024-03-06 01:00;8,53
2024-03-06 02:00;8,37
2024-03-06 03:00;8,3
2024-03-06 04:00;8,37
2024-03-06 05:00;8,64
2024-03-06 06:00;11,05
2024-03-06 07:00;12,93
2024-03-06 08:00;14,85
2024-03-06 09:00;14,07
2024-03-06 10:00;12,22
2024-03-06 11:00;9,69
2024-03-06 12:00;13,25
2024-03-06 13:00;10,8
2024-03-06 14:00;9,64
2024-03-06 15:00;9,35
2024-03-06 16:00;9,94
2024-03-06 17:00;11,04
2024-03-06 18:00;13,74
2024-03-06 19:00;15,38
