Time;c/kWh
2024-09-01 00:00;0,59
2024-09-01 01:00;0,67
2024-09-01 02:00;0,59
2024-09-01 03:00;0,59
2024-09-01 04:00;0,59
2024-09-01 05:00;0,59
2024-09-01 06:00;0,59
2024-09-01 07:00;0,67
2024-09-01 08:00;0,72
2024-09-01 09:00;0,91
2024-09-01 10:00;0,99
2024-09-01 11:00;1,07
2024-09-01 12:00;0,92
2024-09-01 13:00;0,84
2024-09-01 14:00;0,96
2024-09-01 15:00;1,01
2024-09-01 16:00;2,48
2024-09-01 17:00;2,48
2024-09-01 18:00;4,34
2024-09-01 19:00;4,51
2024-09-01 20:00;4,98
2024-09-01 21:00;4,04
2024-09-01 22:00;2,61
2024-09-01 23:00;1,47
2024-09-02 00:00;1,24
2024-09-02 01:00;1,2
2024-09-02 02:00;1,16
2024-09-02 03:00;1,13
2024-09-02 04:00;1,11
2024-09-02 05:00;1,11
2024-09-02 06:00;1,23
2024-09-02 07:00;2,25
2024-09-02 08:00;6,68
2024-09-02 09:00;11,89
2024-09-02 10:00;8,79
2024-09-02 11:00;7,83
2024-09-02 12:00;5,82
2024-09-02 13:00;4,71
2024-09-02 14:00;1,74
2024-09-02 15:00;1,34
2024-09-02 16:00;1,35
2024-09-02 17:00;3,43
2024-09-02 18:00;5,15
2024-09-02 19:00;5,61
2024-09-02 20:00;5,52
2024-09-02 21:00;2,77
2024-09-02 22:00;1,63
2024-09-02 23:00;1,45
2024-09-03 00:00;1,25
2024-09-03 01:00;1,16
2024-09-03 02:00;1,12
2024-09-03 03:00;1,11
2024-09-03 04:00;1,12
2024-09-03 05:00;1,19
2024-09-03 06:00;1,29
2024-09-03 07:00;4,71
2024-09-03 08:00;7,62
2024-09-03 09:00;14,8
2024-09-03 10:00;15,15
2024-09-03 11:00;12,7
2024-09-03 12:00;9,18
2024-09-03 13:00;10,91
2024-09-03 14:00;9,19
2024-09-03 15:00;8,53
2024-09-03 16:00;10,54
2024-09-03 17:00;9,18
2024-09-03 18:00;10,91
2024-09-03 19:00;31,96
2024-09-03 20:00;31,96
2024-09-03 21:00;10,42
2024-09-03 22:00;7,89
2024-09-03 23:00;4,95
2024-09-04 00:00;0,95
2024-09-04 01:00;0,93
2024-09-04 02:00;0,93
2024-09-04 03:00;0,96
2024-09-04 04:00;0,98
2024-09-04 05:00;1,06
2024-09-04 06:00;4,65
2024-09-04 07:00;19,15
2024-09-04 08:00;23,34
2024-09-04 09:00;19,96
2024-09-04 10:00;16,29
2024-09-04 11:00;14,04
2024-09-04 12:00;11,74
2024-09-04 13:00;11,29
2024-09-04 14:00;11,38
2024-09-04 15:00;10,62
2024-09-04 16:00;11,72
2024-09-04 17:00;14,35
2024-09-04 18:00;19,41
2024-09-04 19:00;24,44
2024-09-04 20:00;19,29
2024-09-04 21:00;5,12
2024-09-04 22:00;3,13
2024-09-04 23:00;1,05
2024-09-05 00:00;0,98
2024-09-05 01:00;1,06
2024-09-05 02:00;1,06
2024-09-05 03:00;1,11
2024-09-05 04:00;1,19
2024-09-05 05:00;1,57
2024-09-05 06:00;4,72
2024-09-05 07:00;7,62
2024-09-05 08:00;16,26
2024-09-05 09:00;15,53
2024-09-05 10:00;12,85
2024-09-05 11:00;9,16
2024-09-05 12:00;6
2024-09-05 13:00;6,77
2024-09-05 14:00;7,32
2024-09-05 15:00;8
2024-09-05 16:00;6,5
2024-09-05 17:00;10,1
2024-09-05 18:00;16,07
2024-09-05 19:00;26,89
2024-09-05 20:00;30,95
2024-09-05 21:00;21,24
2024-09-05 22:00;14,6
2024-09-05 23:00;7,14
2024-09-06 00:00;5,5
2024-09-06 01:00;1,95
2024-09-06 02:00;3,24
2024-09-06 03:00;4,43
2024-09-06 04:00;4,59
2024-09-06 05:00;4,92
2024-09-06 06:00;5,24
2024-09-06 07:00;6,79
2024-09-06 08:00;9,66
2024-09-06 09:00;16,05
2024-09-06 10:00;13,46
2024-09-06 11:00;9,15
2024-09-06 12:00;6,62
2024-09-06 13:00;2,7
2024-09-06 14:00;1,59
2024-09-06 15:00;1,57
2024-09-06 16:00;2,47
2024-09-06 17:00;6,7
2024-09-06 18:00;7,82
2024-09-06 19:00;6,18
2024-09-06 20:00;4,36
2024-09-06 21:00;1,59
2024-09-06 22:00;1,12
2024-09-06 23:00;1,01
2024-09-07 00:00;0,95
2024-09-07 01:00;0,99
2024-09-07 02:00;1
2024-09-07 03:00;1
2024-09-07 04:00;0,96
2024-09-07 05:00;0,96
2024-09-07 06:00;0,98
2024-09-07 07:00;0,98
2024-09-07 08:00;1,3
2024-09-07 09:00;1,67
2024-09-07 10:00;2,6
2024-09-07 11:00;1,84
2024-09-07 12:00;1,54
2024-09-07 13:00;1,25
2024-09-07 14:00;0,75
2024-09-07 15:00;0,98
2024-09-07 16:00;1,31
2024-09-07 17:00;5,98
2024-09-07 18:00;8
2024-09-07 19:00;8,18
2024-09-07 20:00;7,12
2024-09-07 21:00;5,89
2024-09-07 22:00;6,64
2024-09-07 23:00;5,79
2024-09-08 00:00;1,34
2024-09-08 01:00;1,24
2024-09-08 02:00;1,16
2024-09-08 03:00;1,09
2024-09-08 04:00;1,08
2024-09-08 05:00;1,06
2024-09-08 06:00;1,08
2024-09-08 07:00;1,08
2024-09-08 08:00;1,34
2024-09-08 09:00;5,15
2024-09-08 10:00;5,56
2024-09-08 11:00;1,37
2024-09-08 12:00;0,9
2024-09-08 13:00;0,6
2024-09-08 14:00;0,59
2024-09-08 15:00;0,74
2024-09-08 16:00;1,34
2024-09-08 17:00;5,59
2024-09-08 18:00;10,12
2024-09-08 19:00;8,08
2024-09-08 20:00;4,5
2024-09-08 21:00;1,07
2024-09-08 22:00;0,97
2024-09-08 23:00;0,79
2024-09-09 00:00;0,6
2024-09-09 01:00;0,58
2024-09-09 02:00;0,56
2024-09-09 03:00;0,58
2024-09-09 04:00;0,59
2024-09-09 05:00;0,59
2024-09-09 06:00;0,64
2024-09-09 07:00;0,82
2024-09-09 08:00;0,96
2024-09-09 09:00;1,06
2024-09-09 10:00;1,18
2024-09-09 11:00;1,04
2024-09-09 12:00;0,97
2024-09-09 13:00;0,89
2024-09-09 14:00;0,77
2024-09-09 15:00;0,73
2024-09-09 16:00;0,83
2024-09-09 17:00;0,87
2024-09-09 18:00;0,87
2024-09-09 19:00;0,86
2024-09-09 20:00;0,79
2024-09-09 21:00;0,67
2024-09-09 22:00;0,59
2024-09-09 23:00;0,52
2024-09-10 00:00;0,46
2024-09-10 01:00;0,49
2024-09-10 02:00;0,48
2024-09-10 03:00;0,46
2024-09-10 04:00;0,45
2024-09-10 05:00;0,48
2024-09-10 06:00;0,52
2024-09-10 07:00;0,59
2024-09-10 08:00;0,84
2024-09-10 09:00;0,89
2024-09-10 10:00;0,85
2024-09-10 11:00;0,85
2024-09-10 12:00;0,74
2024-09-10 13:00;0,59
2024-09-10 14:00;0,58
2024-09-10 15:00;0,57
2024-09-10 16:00;0,58
2024-09-10 17:00;0,62
2024-09-10 18:00;0,78
2024-09-10 19:00;0,82
2024-09-10 20:00;0,93
2024-09-10 21:00;0,84
2024-09-10 22:00;0,77
2024-09-10 23:00;0,59
2024-09-11 00:00;0,59
2024-09-11 01:00;0,59
2024-09-11 02:00;0,59
2024-09-11 03:00;0,59
2024-09-11 04:00;0,59
2024-09-11 05:00;0,71
2024-09-11 06:00;0,87
2024-09-11 07:00;8,59
2024-09-11 08:00;18,41
2024-09-11 09:00;13,98
2024-09-11 10:00;12,55
2024-09-11 11:00;9,88
2024-09-11 12:00;8,75
2024-09-11 13:00;8,13
2024-09-11 14:00;7,98
2024-09-11 15:00;7,73
2024-09-11 16:00;8,25
2024-09-11 17:00;11,74
2024-09-11 18:00;9,42
2024-09-11 19:00;4,15
2024-09-11 20:00;1,71
2024-09-11 21:00;1,11
2024-09-11 22:00;1
2024-09-11 23:00;0,97
2024-09-12 00:00;0,84
2024-09-12 01:00;0,59
2024-09-12 02:00;0,59
2024-09-12 03:00;0,59
2024-09-12 04:00;0,59
2024-09-12 05:00;0,65
2024-09-12 06:00;2,28
2024-09-12 07:00;10,59
2024-09-12 08:00;16,91
2024-09-12 09:00;18,75
2024-09-12 10:00;14,03
2024-09-12 11:00;11,89
2024-09-12 12:00;12,93
2024-09-12 13:00;13,26
2024-09-12 14:00;14,78
2024-09-12 15:00;18,53
2024-09-12 16:00;17,54
2024-09-12 17:00;19,41
2024-09-12 18:00;31,97
2024-09-12 19:00;31,98
2024-09-12 20:00;49,95
2024-09-12 21:00;32,08
2024-09-12 22:00;16,33
2024-09-12 23:00;13,69
2024-09-13 00:00;13,15
2024-09-13 01:00;19,84
2024-09-13 02:00;17,05
2024-09-13 03:00;16,91
2024-09-13 04:00;17,82
2024-09-13 05:00;15,65
2024-09-13 06:00;19,79
2024-09-13 07:00;31,97
2024-09-13 08:00;45,41
2024-09-13 09:00;44,36
2024-09-13 10:00;31,97
2024-09-13 11:00;40,93
2024-09-13 12:00;36,86
2024-09-13 13:00;31,97
2024-09-13 14:00;31,95
2024-09-13 15:00;28,21
2024-09-13 16:00;28,21
2024-09-13 17:00;24,44
2024-09-13 18:00;23,86
2024-09-13 19:00;28,2
2024-09-13 20:00;24,38
2024-09-13 21:00;14,33
2024-09-13 22:00;13,13
2024-09-13 23:00;10,54
2024-09-14 00:00;8,21
2024-09-14 01:00;8,6
2024-09-14 02:00;7,2
2024-09-14 03:00;6,6
2024-09-14 04:00;6,45
2024-09-14 05:00;6,63
2024-09-14 06:00;6,3
2024-09-14 07:00;7,64
2024-09-14 08:00;9
2024-09-14 09:00;10,31
2024-09-14 10:00;9,1
2024-09-14 11:00;7,67
2024-09-14 12:00;8,46
2024-09-14 13:00;8,34
